id_buque,nombre,patente,pais,tipo
109,Rubia,XG4556,Nicaragua,pesquero
110,Sabueso,HW2014,Colombia,pesquero
111,Floracion,BZ3311,Noruega,carga
112,Flor,BB5259,Brasil,pesquero
113,Campanilla,WC8293,Australia,pesquero
114,pechiazul,RY9242,Canada,petrolero
115,Blyth,OM4230,Paraguay,petrolero
116,Boadicea,AL1557,Dinamarca,carga
117,bodenham,II3534,Noruega,pesquero
118,Castillo bodiam,CG7403,Japon,pesquero
119,Bogam,WX5990,Argentina,carga
120,Negrita,HE5247,Polonia,pesquero
121,Bolebroke,HH5023,Republica Dominicana,carga
122,Bolton Castle,FI2331,Austria,pesquero
123,Bolton,YB3879,Austria,petrolero
124,Bombardear,OY7209,Reino Unido,carga
125,Castillo de Bombay,NK1201,Ecuador,carga
126,Bombay,MN4984,Japon,petrolero
127,Bumerang,PA1651,Islas Malvinas,pesquero
128,Buenaventura,PJ8392,Republica Dominicana,pesquero
129,Bonavoila,UE6214,Ecuador,petrolero
130,Bonetta,IJ4552,Mexico,petrolero
131,Bonita,EF2295,Canada,pesquero
132,Bonito,RA3983,Finlandia,pesquero
133,Bonne Ciudadana,YC1851,Austria,pesquero
134,Bootle,XL6992,Costa Rica,carga
135,Borraja,RC8468,Estados Unidos,pesquero
136,Frontera,XH5466,Australia,carga
137,Boreas,VH2584,Ecuador,carga
138,Boreham,CV4539,Islas Malvinas,pesquero
139,Taladrador,VB9537,Canada,petrolero
140,Boscawen,OF5460,Chile,carga
141,Bossington,EB3227,Peru,petrolero
142,Boston,IH6707,Nicaragua,pesquero
143,Botha,DA9671,Suiza,pesquero
144,Bottisham,NL7862,Nueva Zelanda,pesquero
145,Bouclier,UJ2611,Islas Malvinas,pesquero
146,Boulogne,PV7666,Austria,petrolero
147,Boulston,HH5472,Republica Dominicana,pesquero
148,Bravucon,KQ3854,Nicaragua,pesquero
149,Abundante,ON7101,Argentina,carga
150,Generosidad,QC1164,España,petrolero
151,bourbonnaise,TW7915,Tailandia,pesquero
152,Bourdelais,EI5834,Polonia,petrolero
153,Bowen,AI9121,Jamaica,petrolero
154,Castillo de Bowes,YE6286,Argentina,pesquero
155,bowmanville,PJ3020,Japon,petrolero
156,Boxer,IX1197,Italia,pesquero
157,Boyne,YB1434,Belgica,pesquero
158,Braak,LD3618,Republica Dominicana,petrolero
159,Braave,IF9396,Portugal,petrolero
160,Bradfield,AY3986,Islas Malvinas,petrolero
161,Bradford,FJ6533,Sudafrica,pesquero
162,Trenza,SU8617,Belgica,petrolero
163,Braithwaite,LW6201,Japon,pesquero
164,Brakel,VG7905,Tailandia,carga
165,Castillo bramber,SM2508,Colombia,carga
166,Zarza,MY3367,Portugal,carga
167,Bramham,GS9404,Filipinas,carga
168,Brampton,HE8199,Jamaica,carga
169,Brandon,FA3127,Chile,petrolero
170,Branlebas,DQ3759,India,carga
171,brantford,RP8314,Ecuador,carga
172,Brantingham,MJ4934,Ecuador,pesquero
173,Valiente,YX2002,Islas Malvinas,pesquero
174,Bravo,EV7485,Qatar,petrolero
175,Brayford,HI7513,Suiza,petrolero
176,Descarado,RO9221,Cuba,petrolero
177,Brema,TR8211,Australia,petrolero
178,brearley,FO3430,India,pesquero
179,Brecon,LR2069,Panama,petrolero
180,Breconshire,GJ5946,Noruega,carga
181,Breda,HB4367,Egipto,petrolero
182,brenchley,VY5330,Australia,pesquero
183,Brereton,WF3051,Singapur,carga
184,Brevdrageren,HI3831,Belgica,carga
185,Brezo,UO8744,Paraguay,pesquero
186,Bridgewater,DV6261,Belgica,pesquero
187,Castillo bridgnorth,TS8958,Indonesia,pesquero
188,Bridlington,LN8777,Tailandia,pesquero
189,Bridport,HK6767,Sudafrica,petrolero
190,Brigadier,HE2921,Dinamarca,carga
191,brigandine,BN3951,Italia,carga
192,Bergantin,TG8958,España,pesquero
193,Brigham,RK9162,Argentina,pesquero
194,Brighton,NQ5495,Panama,petrolero
195,Brillante,HF4402,Austria,carga
196,Premio brillante,IT1233,Filipinas,pesquero
197,Brinkley,FN4513,Qatar,carga
198,Brinton,OA5815,Islas Malvinas,petrolero
199,briseis,WC2925,Costa Rica,carga
200,Energico,CC4639,Polonia,pesquero
201,Brissenden,UZ5981,Cuba,petrolero
202,Bristol,DK4889,Portugal,carga
203,Britania,DT6703,Finlandia,petrolero
204,britomart,JR2308,Tailandia,pesquero
205,britanico,YW8268,Cuba,carga
206,Brixham,WK4832,Brasil,petrolero
207,Broaderschap,NN8091,Jamaica,petrolero
208,Broadley,AV9914,Costa Rica,carga
209,Sable,DC7834,Qatar,pesquero
210,broadwater,GS9663,Polonia,carga
211,Broadway,OH1392,Jamaica,petrolero
212,Brock,NP8695,Filipinas,pesquero
213,Brocklesby,PV6712,Paraguay,petrolero
214,brockville,ZV8179,Indonesia,petrolero
215,Rompi,OV3558,Islas Malvinas,pesquero
216,brolga,KI7112,India,carga
217,Bronington,LV7419,Qatar,petrolero
218,Penelope,DS0478,Chile,carga
219,Premio Dover,KH8053,Belgica,pesquero
220,Dovey,XB6912,Argentina,carga
221,downham,CE1914,Corea,petrolero
222,Downley,RW4421,Suiza,petrolero
223,Continuar,UY2987,Islas Malvinas,petrolero
224,Premio dragon,EE2109,Nueva Zelanda,carga
225,Libelula,RQ2918,Dinamarca,pesquero
226,Pato,ZC6249,Brasil,petrolero
227,Terrible,SQ8557,Vietnam,petrolero
228,Acorazado,GC3280,Islas Malvinas,pesquero
229,Premio Dreadnought,NT2280,Colombia,petrolero
230,Conductor,PZ1913,Nueva Zelanda,carga
231,Drochterland,NN2774,Tailandia,carga
232,Drogheda,PB7290,Reino Unido,pesquero
233,Dromedario,GE9618,Colombia,petrolero
234,Dromio,PK9613,Paraguay,carga
235,Droxford,CB1716,Tailandia,carga
236,Esclava,VI7863,Chile,carga
237,druida,OO2266,Qatar,pesquero
238,drumheller,VI9753,Nicaragua,carga
239,drummondville,FE1567,Panama,carga
240,Drury,DG5218,Filipinas,carga
241,Driada,LI5894,Singapur,pesquero
242,dubbo,QJ1463,Tailandia,petrolero
243,Dubford,DY6365,Irlanda,carga
244,Gulnare,OI4579,Egipto,carga
245,Gurkha,TQ5114,Finlandia,carga
246,guysborough,ED5736,Chile,petrolero
247,gympie,HP3120,Panama,petrolero
248,gitano,YT2845,Mexico,pesquero
249,magnolia,ZP4420,Chile,carga
